fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-11-30,USD,5727000000,,,,,757000000,419000000,106000000.0,-202000000.0,,-414000000,-3488000000,,,,,,,,,,,-3050000000,,1828000000.0,3000000.0,5260000000,2020
2021-11-30,USD,7230000000,,,,,788000000,330000000,-430000000.0,450000000.0,,-3537000000,-4301000000,,,,,,,,,,,-3950000000,,-634000000.0,-26000000.0,4822000000,2021
2022-11-30,USD,7838000000,,,,,856000000,442000000,-198000000.0,,,-570000000,-6825000000,,,,,,,,,,,-6550000000,,443000000.0,,4756000000,2022
2023-11-30,USD,7302000000,,,,,872000000,360000000,,208000000.0,,776000000,-5182000000,,,,,,,,,,,-4400000000,,,,5428000000,2023
2024-11-30,USD,8056000000,,,,,894000000,232000000,,,,149000000,-7724000000,,,,,,,,,,,-9500000000,,,,5560000000,2024
