year,ebit_margin,net_margin,fcf_margin,debt_to_equity,net_debt,roe,asset_turnover,revenue_cagr,fcf_cagr
2022,0.4326373127553336,0.3668633681343622,0.3285872799717557,0.36789518559882795,47339000000.0,0.4367546925099975,0.5434437013485364,0.12423114652863054,0.03202605420584792
2023,0.43073402071585304,0.3414623787839464,0.2806549795908737,0.2907774593522546,25261000000.0,0.35088714643856406,0.5143867603938094,0.12423114652863054,0.03202605420584792
2024,0.45170160165142254,0.35955972944084985,0.3021801388696241,0.25002886653232864,48812000000.0,0.32828137978299815,0.47860153896318164,0.12423114652863054,0.03202605420584792
2025,0.44728883588192697,0.3614601524896707,0.2541884965427156,0.17639506345366093,30346000000.0,0.2964722734140952,0.4551254194244616,0.12423114652863054,0.03202605420584792
