year,projected_fcf,discount_factor,present_value,terminal_value_pv
1,73904417767.73497,0.9174311926605504,67802218135.53667,0.0
2,76271284657.21608,0.84167999326656,64196014356.71751,0.0
3,78713952953.99774,0.7721834800610642,60781614121.38086,0.0
4,81234850278.05904,0.7084252110651963,57548815954.083595,0.0
5,83836481996.4681,0.6499313862983452,54487960966.34077,859233230623.0659
