fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,USD,146698000000,257637000000,110939000000,110939000000,78714000000,13510000000,31562000000,67984000000,,1153000000,1499000000,346000000,,12020000000.0,,12441000000,90734000000,14701000000,,76033000000,,91080000000,103521000000,76033000000
2022-12-31,USD,156633000000,282836000000,126203000000,126203000000,74842000000,15724000000,39500000000,81791000000,,1817000000,2174000000,357000000,,-3514000000.0,,13475000000,71328000000,11356000000,,59972000000,,71685000000,85160000000,59972000000
2023-12-31,USD,174062000000,307394000000,133332000000,133332000000,84293000000,16425000000,45427000000,89769000000,,3085000000,3414000000,308000000,,,,11946000000,85717000000,11922000000,,66732000000,,86025000000,97971000000,73795000000
2024-12-31,USD,203712000000,350018000000,146306000000,146306000000,112390000000,14188000000,49326000000,91322000000,,4214000000,4482000000,268000000,,,,15311000000,119815000000,19697000000,,100118000000,,120083000000,135394000000,100118000000
