fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2021-01-31,USD,66301000000,21889000000,6195000000,6195000000,1146000000.0,7786000000,44412000000,5663000000,,4114000000,4114000000,26318000000,,3909000000,5771000000,991000000,,24808000000,17728000000,4355000000,,,766000000,7080000000,3608000000,2673000000,,,6281000000,12607000000,1565000000,41493000000,,5933000000,1000000,930000000
2022-01-31,USD,95209000000,22850000000,5464000000,5464000000,1454000000.0,9739000000,72359000000,5695000000,,8978000000,8978000000,47937000000,,4784000000,5073000000,1120000000,,37078000000,21788000000,5474000000,,,686000000,15290000000,3389000000,10592000000,4000000.0,,13981000000,5474000000,1995000000,58131000000,,7377000000,1000000,974000000
2023-01-31,USD,98849000000,26395000000,7016000000,7016000000,1776000000.0,10755000000,72454000000,6592000000,,7125000000,7125000000,48568000000,,4672000000,5492000000,1356000000,,40490000000,25891000000,6743000000,,,1772000000,14599000000,3487000000,9419000000,1182000000.0,,14088000000,6743000000,2283000000,58359000000,,7585000000,1000000,997000000
2024-01-31,USD,99823000000,29074000000,8472000000,8472000000,,11414000000,70749000000,6055000000,,5278000000,5278000000,48620000000,,4848000000,5722000000,3466000000,,40177000000,26631000000,3239000000,,,1517000000,13546000000,3162000000,8427000000,999000000.0,,12588000000,6111000000,2475000000,59646000000,,11721000000,1000000,984000000
2025-01-31,USD,102928000000,29727000000,8848000000,8848000000,,11945000000,73201000000,5393000000,,4428000000,4428000000,51283000000,,4852000000,5184000000,3750000000,,41755000000,27980000000,3521000000,,,579000000,13775000000,2959000000,8433000000,,,11392000000,6658000000,2962000000,61173000000,,16369000000,1000000,974000000
