fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-12-31,USD,95280000000,117929000000,22649000000,22649000000,46753000000,9829000000,24655000000,48527000000,,531000000,484000000,461000000,,210000000.0,,7967000000,47284000000,7914000000,,39370000000,,46753000000,54720000000,39370000000
2022-12-31,USD,91360000000,116609000000,25249000000,25249000000,28944000000,11816000000,35338000000,62416000000,,-125000000,461000000,185000000,,-320000000.0,,8686000000,28819000000,5619000000,,23200000000,,28944000000,37630000000,23200000000
2023-12-31,USD,108943000000,134902000000,25959000000,25959000000,46751000000,11408000000,38483000000,62192000000,,677000000,1639000000,446000000,,-150000000.0,,10382000000,47428000000,8330000000,,29734000000,,46751000000,57133000000,39098000000
2024-12-31,USD,134340000000,164501000000,30161000000,30161000000,69380000000,9740000000,43873000000,64960000000,,1973000000,2517000000,715000000,,,,15498000000,70663000000,8303000000,,62360000000,,71378000000,86876000000,62360000000
