fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,year
2020-09-30,USD,104956000000,274515000000,169559000000,169559000000,66288000000,19916000000,18752000000,38668000000,,890000000,3763000000,2873000000,,803000000.0,,11056000000,67091000000,9680000000,,57411000000,,69964000000,81020000000,57411000000,2020
2021-09-30,USD,152836000000,365817000000,212981000000,212981000000,108949000000,21973000000,21914000000,43887000000,,198000000,2843000000,2645000000,,258000000.0,,11284000000,109207000000,14527000000,,94680000000,,111852000000,123136000000,94680000000,2021
2022-09-30,USD,170782000000,394328000000,223546000000,223546000000,119437000000,25094000000,26251000000,51573000000,,-106000000,2825000000,2931000000,,334000000.0,,11104000000,119103000000,19300000000,,99803000000,,119437000000,130541000000,99803000000,2022
2023-09-30,USD,169148000000,383285000000,214137000000,214137000000,114301000000,24932000000,29915000000,54847000000,,-183000000,3750000000,3933000000,,-382000000.0,,11519000000,113736000000,16741000000,,96995000000,,114301000000,125820000000,96995000000,2023
2024-09-30,USD,180683000000,391035000000,210352000000,210352000000,123216000000,26097000000,31370000000,57467000000,,0,0,0,,,,11445000000,123485000000,29749000000,,93736000000,,123216000000,134661000000,93736000000,2024
