fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,year
2020-06-30,USD,96937000000,143015000000,46078000000,46078000000,52959000000,5111000000,19269000000,43978000000,,-2591000000,2680000000,2591000000,,77000000.0,,12796000000,53036000000,8755000000,,44281000000,,55627000000,68423000000,44281000000,2020
2021-06-30,USD,115856000000,168088000000,52232000000,52232000000,69916000000,5107000000,20716000000,45940000000,,-215000000,2131000000,2346000000,,1186000000.0,,11686000000,71102000000,9831000000,,61271000000,,73448000000,85134000000,61271000000,2021
2022-06-30,USD,135620000000,198270000000,62650000000,62650000000,83383000000,5900000000,24512000000,52237000000,,31000000,2094000000,2063000000,,333000000.0,,14460000000,83716000000,10978000000,,72738000000,,85779000000,100239000000,72738000000,2022
2023-06-30,USD,146052000000,211915000000,65863000000,65863000000,88523000000,7575000000,27195000000,57529000000,,1026000000,1041000000,1968000000,,,,13861000000,89311000000,16950000000,,72361000000,,91279000000,105140000000,72361000000,2023
2024-06-30,USD,171008000000,245122000000,74114000000,74114000000,109433000000,7609000000,29510000000,61575000000,,222000000,3157000000,2935000000,,,,22287000000,107787000000,19651000000,,88136000000,,110722000000,133009000000,88136000000,2024
