fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-09-30,USD,80674000000,,,,,11056000000,7309000000,8470000000.0,-127000000,,-4289000000,-86820000000,,,,,14081000000,14081000000,,,,,-72358000000,,-10435000000.0,,57411000000,2020
2021-09-30,USD,104038000000,,,,,11284000000,11085000000,-14028000000.0,-2642000000,,-14545000000,-93353000000,,,,,14467000000,14467000000,,,,,-85971000000,,-3860000000.0,,94680000000,2021
2022-09-30,USD,122151000000,,,,,11104000000,10708000000,-9343000000.0,1484000000,,-22354000000,-110749000000,,,,,14841000000,14841000000,,,,,-89402000000,,-10952000000.0,,99803000000,2022
2023-09-30,USD,110543000000,,,,,11519000000,10959000000,-417000000.0,-1618000000,,3705000000,-108488000000,,,,,15025000000,15025000000,,,,,-77550000000,,5760000000.0,,96995000000,2023
2024-09-30,USD,118254000000,,,,,11445000000,9447000000,,-1046000000,,2935000000,-121983000000,,,,,15234000000,15234000000,,,,,-94949000000,,,,93736000000,2024
