fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,year
2020-12-31,USD,155970000000,39165000000,13212000000,13212000000,1839000000,18738000000,116805000000,10040000000,-23136000000.0,13795000000,13795000000,59617000000,,9368000000.0,600000000,4776000000,,135245000000,39869000000,4908000000,,,8540000000,95376000000,4931000000,54355000000,7183000000,,62895000000,13588000000,36719000000,20597000000,-169339000000.0,162717000000,56556000000,896600000,2020
2021-12-31,USD,132001000000,29539000000,6650000000,6650000000,1649000000,14977000000,102460000000,8916000000,-14390000000.0,12511000000,12511000000,55643000000,,1823000000.0,600000000,5663000000,,113005000000,33619000000,3955000000,,,7760000000,79386000000,3436000000,44917000000,6787000000,,55139000000,9386000000,13995000000,18901000000,-169392000000.0,154209000000,57319000000,904641001,2021
2022-12-31,USD,127243000000,29118000000,7886000000,7886000000,1552000000,7005000000,98126000000,8212000000,,11184000000,11184000000,55949000000,,1617000000.0,852000000,11823000000,,105222000000,31505000000,4051000000,,,5634000000,73717000000,3064000000,46189000000,4760000000,,54013000000,7592000000,12243000000,21944000000,,149825000000,58343000000,912269062,2022
2023-12-31,USD,135241000000,32908000000,13068000000,13068000000,1161000000,13956000000,102333000000,8721000000,,11036000000,11036000000,60178000000,,,373000000,4350000000,,112628000000,34122000000,4132000000,,,7246000000,78506000000,3388000000,50121000000,6426000000,,59935000000,7023000000,1164000000,22533000000,,151276000000,59643000000,922073828,2023
2024-12-31,USD,137175000000,34482000000,13947000000,13947000000,1289000000,14010000000,102694000000,8928000000,,10661000000,10661000000,60706000000,,,644000000,4592000000,,109782000000,33142000000,4032000000,,,5857000000,76640000000,3423000000,49884000000,5089000000,,58396000000,7313000000,981000000,27307000000,,151163000000,61380000000,937200000,2024
