fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,year
2020-05-31,USD,115438000000,52140000000,37239000000,37239000000,211000000,5551000000,63298000000,6244000000.0,,3738000000,3738000000,43769000000,,,5818000000,3321000000,,102721000000,17200000000,637000000,,,2371000000,85521000000,,69226000000,2371000000,,71597000000,-6273000000,16295000000,12074000000,,-12696000000,26486000000,3294000000,2020
2021-05-31,USD,131107000000,55567000000,30098000000,30098000000,142000000,5409000000,75540000000,7049000000.0,,2430000000,2430000000,43935000000,,,16456000000,3462000000,,125155000000,24164000000,745000000,,,8250000000,100991000000,,75995000000,8250000000,,84245000000,-5951000000,17132000000,5238000000,,-20120000000,26533000000,3022000000,2021
2022-05-31,USD,109297000000,31633000000,21383000000,21383000000,314000000,5953000000,77664000000,9716000000.0,,1440000000,1440000000,43811000000,,,519000000,3464000000,,115065000000,19511000000,1317000000,,,3749000000,95554000000,,72110000000,3749000000,,75859000000,-6122000000,5203000000,-6220000000,,-31336000000,26808000000,2786000000,2022
2023-05-31,USD,134384000000,21004000000,9765000000,9765000000,298000000,6915000000,113380000000,17069000000.0,,9837000000,9837000000,62261000000,,,422000000,3604000000,,132828000000,23090000000,1204000000,,,4061000000,109738000000,,86420000000,4061000000,,90481000000,8855000000,6469000000,1073000000,,-27620000000,30215000000,2766000000,2023
2024-05-31,USD,140976000000,22554000000,10454000000,10454000000,334000000,7874000000,118422000000,,,6890000000,6890000000,62230000000,,,207000000,4019000000,,131737000000,31544000000,2357000000,,,11905000000,100193000000,6255000000.0,76264000000,10605000000,,94469000000,7969000000,9420000000,8704000000,,-22628000000,32764000000,2823000000,2024
