fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-12-31,USD,66064000000,,,,,25251000000,40140000000,-8169000000.0,-2849000000,,-59611000000,-1104000000,,,,,,,,,,,0,,5967000000.0,618000000.0,21331000000,2020
2021-12-31,USD,46327000000,,,,,34296000000,61053000000,-18163000000.0,-9487000000,,-58154000000,6291000000,,,,,,,,,,,0,,-5900000000.0,-364000000.0,33364000000,2021
2022-12-31,USD,46752000000,,,,,41921000000,63645000000,-21897000000.0,-2592000000,,-37601000000,9718000000,,,,,,,,,,,-6000000000,,18869000000.0,,-2722000000,2022
2023-12-31,USD,84946000000,,,,,48663000000,52729000000,,1449000000,,-49833000000,-15879000000,,,,,,,,,,,0,,,,30425000000,2023
2024-12-31,USD,115877000000,,,,,52795000000,82999000000,,-1884000000,,-94342000000,-11812000000,,,,,,,,,,,0,,,,59248000000,2024
