fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-05-31,USD,32624000000,40479000000,7855000000,7855000000,15213000000,1254000000,6527000000,17411000000,,-2496000000,101000000,2496000000,,,,2916000000,12999000000,-747000000,,13464000000,,15495000000,18411000000,13746000000
2022-05-31,USD,33563000000,42440000000,8877000000,8877000000,10926000000,1317000000,7219000000,22637000000,,-2755000000,94000000,2755000000,,,,3122000000,7649000000,932000000,,6717000000,,10404000000,13526000000,6717000000
2023-05-31,USD,36390000000,49954000000,13564000000,13564000000,13093000000,1579000000,8623000000,23297000000,,-3505000000,285000000,3505000000,,,,6108000000,9126000000,623000000,,8503000000,,12631000000,18739000000,8503000000
2024-05-31,USD,37818000000,52961000000,15143000000,15143000000,15353000000,1548000000,8915000000,22465000000,,-3063000000,451000000,3514000000,,,,6139000000,11741000000,1274000000,,10467000000,,15255000000,21394000000,10467000000
2025-05-31,USD,40472000000,57399000000,16927000000,16927000000,17678000000,1602000000,9860000000,22794000000,,-3000000000,578000000,3578000000,,,,6174000000,14160000000,1717000000,,12443000000,,17738000000,23912000000,12443000000
