fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2021-02-28,USD,8170000000,10085000000,1915000000,1915000000,3878000000,330000000,1621000000,4292000000,,-585000000,23000000,585000000,,,,732000000,3276000000,-1745000000,,5038000000,,3861000000,4593000000,5021000000
2021-05-31,USD,9105000000,11227000000,2122000000,2122000000,4541000000,305000000,1715000000,4564000000,,-697000000,21000000,697000000,,,,752000000,4156000000,124000000,,3720000000,,4853000000,5605000000,4033000000
2021-08-31,USD,7625000000,9728000000,2103000000,2103000000,3427000000,298000000,1684000000,4198000000,,-685000000,20000000,705000000,,,,757000000,2681000000,224000000,,2457000000,,3386000000,4143000000,2457000000
2021-11-30,USD,8201000000,10360000000,2159000000,2159000000,-824000000,319000000,1754000000,9039000000,,-658000000,21000000,679000000,,,,759000000,-1496000000,-249000000,,-1254000000,,-817000000,-58000000,-1247000000
2022-02-28,USD,8295000000,10513000000,2218000000,2218000000,3822000000,335000000,1816000000,4473000000,,-651000000,16000000,667000000,,,,775000000,2840000000,521000000,,2634000000,,3507000000,4282000000,2319000000
2022-05-31,USD,9444000000,11840000000,2397000000,2397000000,4503000000,364000000,1965000000,4941000000,,-704000000,38000000,704000000,,,,831000000,3624000000,435000000,,3189000000,,4328000000,5159000000,3189000000
2022-08-31,USD,8408000000,11445000000,3037000000,3037000000,2623000000,411000000,2093000000,5785000000,,-787000000,38000000,787000000,,,,1466000000,1656000000,108000000,,1728000000,,2443000000,3909000000,1548000000
2022-11-30,USD,8917000000,12275000000,3358000000,3358000000,3071000000,366000000,2158000000,5846000000,,-894000000,52000000,856000000,,,,1498000000,2144000000,403000000,,1741000000,,3000000000,4498000000,1741000000
2023-02-28,USD,8959000000,12398000000,3439000000,3439000000,3260000000,402000000,2146000000,5699000000,,-818000000,90000000,907000000,,,,1558000000,2218000000,322000000,,2030000000,,3126000000,4684000000,1896000000
2023-05-31,USD,10106000000,13836000000,3730000000,3730000000,4140000000,400000000,2226000000,5966000000,,-955000000,105000000,955000000,,,,1586000000,3109000000,-210000000,,3319000000,,4064000000,5650000000,3319000000
2023-08-31,USD,8843000000,12453000000,3610000000,3610000000,3296000000,393000000,2216000000,5547000000,,-872000000,136000000,872000000,,,,1475000000,2375000000,-45000000,,2420000000,,3247000000,4722000000,2420000000
2023-11-30,USD,9201000000,12941000000,3740000000,3740000000,3622000000,375000000,2226000000,5579000000,,-888000000,133000000,888000000,,,,1553000000,2720000000,217000000,,2503000000,,3608000000,5161000000,2503000000
2024-02-29,USD,9411000000,13280000000,3869000000,3869000000,3750000000,377000000,2248000000,5661000000,,-765000000,111000000,876000000,,,,1557000000,2865000000,464000000,,2401000000,,3741000000,5298000000,2401000000
2024-05-31,USD,10363000000,14287000000,3924000000,3924000000,4686000000,402000000,2226000000,5677000000,,-807000000,71000000,878000000,,,,1554000000,3782000000,639000000,,3144000000,,4660000000,6214000000,3144000000
2024-08-31,USD,9401000000,13307000000,3906000000,3906000000,3991000000,358000000,2306000000,5410000000,,-709000000,133000000,842000000,,,,1428000000,3169000000,240000000,,2929000000,,4011000000,5439000000,2929000000
2024-11-30,USD,9974000000,14059000000,4085000000,4085000000,4220000000,387000000,2471000000,5754000000,,-717000000,149000000,866000000,,,,1499000000,3390000000,239000000,,3151000000,,4256000000,5755000000,3151000000
2025-02-28,USD,9935000000,14130000000,4195000000,4195000000,4358000000,390000000,2429000000,5577000000,,-757000000,135000000,892000000,,,,1551000000,3448000000,512000000,,2936000000,,4340000000,5891000000,2936000000
2025-05-31,USD,11162000000,15903000000,4740000000,4740000000,5109000000,467000000,2654000000,6053000000,,-818000000,160000000,978000000,,,,1696000000,4151000000,724000000,,3427000000,,5130000000,6826000000,3427000000
2025-08-31,USD,10042000000,14926000000,4884000000,4884000000,4277000000,376000000,2491000000,5765000000,,-820000000,103000000,923000000,,,,420000000,3427000000,500000000,,2927000000,,4350000000,4770000000,2927000000
2025-11-30,USD,10684000000,16058000000,5374000000,5374000000,4731000000,409000000,2561000000,5953000000,,-865000000,192000000,1057000000,,,,2110000000,6342000000,207000000,,6135000000,,7399000000,9509000000,6135000000
