fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-06-30,USD,60675000000,,,,,12796000000,15441000000,-2577000000.0,168000000,,-12223000000,-46031000000,,,,,15137000000,15137000000,,,,,-22968000000,,2220000000.0,-201000000.0,44281000000,2020
2021-06-30,USD,76740000000,,,,,11686000000,20622000000,-6481000000.0,-737000000,,-27577000000,-48486000000,,,,,16521000000,16521000000,,,,,-27385000000,,648000000.0,-29000000.0,61271000000,2021
2022-06-30,USD,89035000000,,,,,14460000000,23886000000,-6834000000.0,-1123000000,,-30311000000,-58876000000,,,,,18135000000,18135000000,,,,,-32696000000,,-152000000.0,,72738000000,2022
2023-06-30,USD,87582000000,,,,,13861000000,28107000000,,1242000000,,-22680000000,-43935000000,,,,,19800000000,19800000000,,,,,-22245000000,,,,72361000000,2023
2024-06-30,USD,118548000000,,,,,22287000000,44477000000,,1284000000,,-96970000000,-37757000000,,,,,21771000000,21771000000,,,,,-17254000000,,,,88136000000,2024
