fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-12-31,USD,35384000000,,,,,12239000000,14453000000,-883000000.0,-687000000,,-20796000000,-12917000000,,,,,5568000000,5568000000,,,,,-14229000000,,1671000000.0,,20899000000,2020
2021-12-31,USD,29991000000,,,,,11792000000,20329000000,2674000000.0,-2339000000,,-25167000000,-5862000000,,,,,5644000000,5644000000,,,,,-2415000000,,-1038000000.0,,19868000000,2021
2022-12-31,USD,15433000000,,,,,13035000000,25050000000,,-2436000000,,-10477000000,1361000000,,,,,5997000000,5997000000,,,,,2883000000,,6317000000.0,,8017000000,2022
2023-12-31,USD,11471000000,,,,,9602000000,25750000000,,2097000000,,-24041000000,8505000000,,,,,3088000000,3088000000,,,,,11391000000,,,,1675000000,2023
2024-12-31,USD,8288000000,,,,,11379000000,23944000000,,-1105000000,,-18256000000,11138000000,,,,,1599000000,1599000000,,,,,987000000,,,,-19233000000,2024
