fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,year
2020-11-30,USD,24284000000,8146000000,4478000000,4478000000,,1398000000,16138000000,1517000000.0,,1359000000,1359000000,10742000000,,,1514000000,756000000,,11020000000,5512000000,306000000,,,92000000,5508000000,591000000,4117000000,,,4708000000,1422000000,1381000000,13264000000,-13546000000.0,19611000000,,485000000,2020
2021-11-30,USD,27241000000,8669000000,3844000000,3844000000,,1878000000,18572000000,2116000000.0,,1820000000,1820000000,12668000000,,,1954000000,993000000,,12444000000,6932000000,312000000,,,97000000,5512000000,550000000,4123000000,,,4673000000,1736000000,252000000,14797000000,-17399000000.0,23905000000,,481000000,2021
2022-11-30,USD,27165000000,8996000000,4236000000,4236000000,,2065000000,18169000000,1908000000.0,,1449000000,1449000000,12787000000,,,1860000000,835000000,,13114000000,8128000000,379000000,,,587000000,4986000000,504000000,3629000000,500000000.0,,4633000000,1790000000,265000000,14051000000,-23843000000.0,28319000000,,471000000,2022
2023-11-30,USD,29779000000,11084000000,7141000000,7141000000,,2224000000,18695000000,,,1088000000,1088000000,12805000000,,,701000000,1018000000,,13261000000,8251000000,314000000,,,73000000,5010000000,446000000,3634000000,,,4080000000,1942000000,376000000,16518000000,,33346000000,,459000000,2023
2024-11-30,USD,30230000000,11232000000,7613000000,7613000000,,2072000000,18998000000,,,782000000,782000000,12788000000,,,273000000,1274000000,,16125000000,10521000000,361000000,,,1574000000,5604000000,428000000,4129000000,1499000000.0,,6056000000,2215000000,446000000,14105000000,,38470000000,,450000000,2024
