fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-07-31,USD,15426000000,,,,,1808000000,770000000,-904000000.0,84000000,,3500000000,-18886000000,,,,,6016000000,6016000000,,,,,-3386000000,,40000000.0,,11214000000,2020
2021-07-31,USD,15454000000,,,,,1862000000,692000000,1470000000.0,-244000000,,-56000000,-12039000000,,,,,6163000000,6163000000,,,,,-3513000000,,-1870000000.0,,10591000000,2021
2022-07-31,USD,13226000000,,,,,1957000000,477000000,232000000.0,-1030000000,,1553000000,-16142000000,,,,,6224000000,6224000000,,,,,-8381000000,,-1183000000.0,,11812000000,2022
2023-07-31,USD,19886000000,,,,,1726000000,849000000,,-1069000000,,-5107000000,-11626000000,,,,,6302000000,6302000000,,,,,-4890000000,,,,12613000000,2023
2024-07-31,USD,10880000000,,,,,2507000000,670000000,,275000000,,-20478000000,6844000000,,,,,6384000000,6384000000,,,,,-6779000000,,,,10320000000,2024
