fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,year
2020-06-30,USD,301311000000,181915000000,13576000000,13576000000,1895000000,32011000000,119396000000,44151000000,,7038000000,7038000000,43351000000,,2965000000,122951000000,11482000000,,183007000000,72310000000,12530000000,,,3749000000,110697000000,7671000000,59578000000,3749000000,,70998000000,20031000000,50915000000,118304000000,,34566000000,80552000000,7683000000,2020
2021-06-30,USD,333779000000,184406000000,14224000000,14224000000,2636000000,38043000000,149373000000,70803000000,,7800000000,7800000000,49711000000,,5984000000,116110000000,13393000000,,191791000000,88657000000,15163000000,,,8072000000,103134000000,9629000000,50074000000,8072000000,,67775000000,23897000000,13427000000,141988000000,,57055000000,83111000000,7608000000,2021
2022-06-30,USD,364840000000,169684000000,13931000000,13931000000,3742000000,44261000000,195156000000,87546000000,,11298000000,11298000000,67524000000,,6891000000,90826000000,16924000000,,198298000000,95082000000,19000000000,,,2749000000,103216000000,11489000000,47032000000,2749000000,,61270000000,27795000000,15526000000,166542000000,,84281000000,86939000000,7540000000,2022
2023-06-30,USD,411976000000,184257000000,34704000000,34704000000,2500000000,48688000000,227719000000,109987000000,,9366000000,9366000000,67886000000,,9879000000,76558000000,21807000000,,205753000000,104149000000,18095000000,,,5247000000,101604000000,12728000000,41990000000,5247000000,,59965000000,29906000000,17981000000,206223000000,,118848000000,93718000000,7472000000,2023
2024-06-30,USD,512163000000,159734000000,18315000000,18315000000,1246000000,56924000000,352429000000,154552000000,,27597000000,27597000000,119220000000,,14600000000,57216000000,26033000000,,243686000000,125286000000,21996000000,,,8942000000,118400000000,15497000000,42688000000,8942000000,,67127000000,31749000000,27064000000,268477000000,,173144000000,100923000000,7469000000,2024
