fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,year
2020-12-31,EUR,19453000000,27338000000,7886000000,7886000000,6623000000,1356000000,4454000000,12829000000,,776000000,840000000,355000000,,,,1831000000,7220000000,1938000000,,5280000000,,7575000000,9406000000,5145000000,2020
2021-12-31,EUR,19734000000,26953000000,7219000000,7219000000,6308000000,1187000000,5270000000,13426000000,,2174000000,2253000000,945000000,,,,1537000000,8505000000,1682000000,,5380000000,,9450000000,10987000000,5256000000,2021
2022-12-31,EUR,21482000000,29519000000,8038000000,8038000000,5914000000,1289000000,6080000000,15567000000,,-1385000000,820000000,2200000000,,,,1569000000,4513000000,1446000000,,1714000000,,6713000000,8282000000,2284000000,2022
2023-12-31,EUR,22534000000,31207000000,8674000000,8674000000,5799000000,1364000000,6324000000,16734000000,,-1242000000,710000000,1313000000,,,,1373000000,5341000000,1741000000,,1639000000,,6654000000,8027000000,6139000000,2023
2024-12-31,EUR,24932000000,34176000000,9243000000,9243000000,4665000000,1435000000,6514000000,20268000000,,-229000000,439000000,1031000000,,,,1280000000,4764000000,1614000000,,3150000000,,5795000000,7075000000,3124000000,2024
