fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,year
2020-01-31,USD,12863000000,17098000000,4235000000,4235000000,202000000,1704000000,2766000000,12400000000,,8000000.0,118000000,110000000.0,,409000000.0,,2135000000,706000000,580000000,,126000000,,202000000,2337000000,126000000,2020
2021-01-31,USD,15814000000,21252000000,5438000000,5438000000,-1715000000,2087000000,3598000000,15359000000,,2060000000.0,2170000000,110000000.0,,-64000000.0,,2846000000,2561000000,-1511000000,,4072000000,,-1715000000,1131000000,4072000000,2021
2022-01-31,USD,19466000000,26492000000,7026000000,7026000000,-663000000,2598000000,4465000000,18918000000,,995000000.0,1211000000,216000000.0,,-227000000.0,,3298000000,1532000000,88000000,,1444000000,,-663000000,2635000000,1444000000,2022
2023-01-31,USD,22992000000,31352000000,8360000000,8360000000,2925000000,2553000000,5055000000,21134000000,,-287000000.0,35000000,287000000.0,,-370000000.0,,3786000000,660000000,452000000,,208000000,,2925000000,6711000000,208000000,2023
2024-01-31,USD,26316000000,34857000000,8541000000,8541000000,5011000000,2534000000,4906000000,21305000000,,,160000000,,,,,3222000000,4950000000,814000000,,4136000000,,5999000000,9221000000,4136000000,2024
