scenario,discount_rate,g,pv_fcf,pv_terminal,enterprise_value,pe,market_cap,stock_price,implied_equity_value,implied_price
optimistic,0.079,0.035,427721205595.5237,2206773070480.8086,2634494276076.332,,3353398738944,451.14,2585682276076.332,347.8943611452333
pessimistic,0.098,0.02,405353836612.8364,1124271222050.9512,1529625058663.7876,,3353398738944,451.14,1480813058663.7876,199.23813447068272
