fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-05-31,USD,13139000000,,,,,2968000000,1564000000,-690000000.0,221000000.0,,9843000000,-6132000000,,,,,3070000000,3070000000,,,,,-19905000000,,16850000000.0,,10135000000,2020
2021-05-31,USD,15887000000,,,,,2916000000,2135000000,141000000.0,-863000000.0,,-13098000000,-10378000000,,,,,3063000000,3063000000,,,,,-21600000000,,-7589000000.0,,13746000000,2021
2022-05-31,USD,9539000000,,,,,3122000000,4511000000,-874000000.0,,,11220000000,-29126000000,,,,,3457000000,3457000000,,,,,-17341000000,,-8367000000.0,,6717000000,2022
2023-05-31,USD,17165000000,,,,,6108000000,8695000000,-151000000.0,-870000000.0,,-36484000000,7910000000,,,,,3668000000,3668000000,,,,,-2503000000,,-11409000000.0,,8503000000,2023
2024-05-31,USD,18673000000,,,,,6139000000,6866000000,,,,-7360000000,-10554000000,,,,,4391000000,4391000000,,,,,-3242000000,,,,10467000000,2024
