fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,year
2020-12-31,EUR,7193000000,,,,,1831000000,816000000,,-821000000.0,,-2986000000,-3997000000,,,,,1864000000,1864000000,,,,,-1492000000,,,,5280000000,2020
2021-12-31,EUR,6223000000,,,,,1775000000,800000000,,-414000000.0,,-3063000000,-56000000,,,,,2182000000,2182000000,,,,,2827000000,,,,5376000000,2021
2022-12-31,EUR,5646000000,,,,,1896000000,874000000,,-149000000.0,,667000000,-6337000000,,,,,2865000000,2865000000,,,,,-1500000000,,,,1714000000,2022
2023-12-31,EUR,6332000000,,,,,1373000000,785000000,,,,906000000,-7734000000,,,,,2395000000,2395000000,,,,,-949000000,,,,5964000000,2023
2024-12-31,EUR,5220000000,,,,,1280000000,797000000,,,,-667000000,-3401000000,,,,,2565000000,2565000000,,,,,-2106000000,,,,3124000000,2024
