fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,year
2020-12-31,EUR,58476000000,15085000000,5311000000,5311000000,,6803000000,43392000000,4942000000,,3784000000,3784000000,27560000000,,3512000000,1635000000,1336000000,,28552000000,12868000000,1367000000,,,1863000000,15684000000,2120000000,13606000000,1482000000,,15463000000,5213000000,769000000,29713000000,-3072000000.0,32022000000,1229000000,1182000000,2020
2021-12-31,EUR,71169000000,20044000000,8898000000,8898000000,588000000.0,6974000000,51125000000,4975000000,,3966000000,3966000000,31090000000,,6275000000,2758000000,826000000,,29646000000,16136000000,1580000000,,,4167000000,13510000000,2143000000,11042000000,3760000000,,15209000000,5958000000,62000000,38853000000,-3072000000.0,37022000000,1229000000,1180000000,2021
2022-12-31,EUR,72160000000,18570000000,9006000000,9006000000,,6236000000,53590000000,4934000000,,3835000000,3835000000,33106000000,,5626000000,856000000,2472000000,,29308000000,17452000000,2146000000,,,4333000000,11856000000,2140000000,9547000000,3984000000,,13085000000,5386000000,706000000,40135000000,,36368000000,1229000000,1175000000,2022
2023-12-31,EUR,68335000000,20571000000,8124000000,8124000000,-187000000.0,6969000000,51014000000,4276000000,,2505000000,2505000000,29088000000,,5107000000,3157000000,2321000000,,24929000000,14642000000,1783000000,,,1437000000,12291000000,1621000000,6027000000,1143000000,,8790000000,6181000000,588000000,43157000000,,42457000000,1229000000,1180000000,2023
2024-12-31,EUR,74122000000,21401000000,9609000000,9609000000,,7737000000,52721000000,4493000000,,2706000000,2706000000,31147000000,,6548000000,1629000000,2426000000,,28314000000,19079000000,1990000000,,,3931000000,9234000000,1715000000,5300000000,3636000000,,10651000000,5586000000,450000000,45440000000,,42907000000,1229000000,1180000000,2024
